City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
457,ponta delgada,37.7333,-25.6667,66.92,82,75,6.91,PT,1687238168
458,purulha,15.2667,-90.2,54.0,98,99,1.57,GT,1687238169
459,sao joao da barra,-21.6403,-41.0511,68.16,70,76,7.94,BR,1687238169
460,hwange,-18.3693,26.5019,54.37,49,0,1.1,ZW,1687238170
461,pamandzi,-12.7967,45.2794,80.38,74,11,11.5,YT,1687238171
462,kyshtovka,56.555,76.6271,48.15,66,100,22.79,RU,1687238171
463,egersund,58.4513,5.9997,65.08,90,100,7.27,NO,1687238171
464,badger,64.8,-147.5333,64.27,60,100,0.0,US,1687238172
465,mayma,52.0197,85.9114,86.72,45,81,8.63,RU,1687238172
466,mankachar,25.5333,89.8667,83.57,82,81,12.39,IN,1687238172
467,tindouf,27.6711,-8.1474,64.85,72,0,20.71,DZ,1687238173
468,nyaunglebin,17.95,96.7333,84.43,73,97,7.2,MM,1687238173
469,santa maria del oro,25.9333,-105.3667,74.01,44,89,6.89,MX,1687238174
470,along,28.1667,94.7667,74.52,99,100,0.69,IN,1687238175
471,bujumbura,-3.3822,29.3644,72.63,73,66,2.44,BI,1687238175
472,longboat key,27.4125,-82.659,84.25,58,20,13.8,US,1687238176
473,smithers,54.7804,-127.1743,68.32,30,20,0.0,CA,1687238176
474,lida,53.8833,25.2997,63.19,90,86,6.58,BY,1687238176
475,turan,16.0678,108.2208,94.98,49,20,5.75,VN,1687238142
476,keflavik,64.0049,-22.5624,48.11,93,75,11.5,IS,1687238177
477,sao raimundo nonato,-9.0153,-42.6994,72.5,74,65,6.11,BR,1687237886
478,beltangadi,13.9833,75.3,83.79,60,99,6.33,IN,1687238178
479,usinsk,65.9939,57.5281,48.13,57,90,14.14,RU,1687238178
480,sandnessjoen,66.0217,12.6316,71.71,49,0,5.75,NO,1687238179
481,tangalle,6.024,80.7911,89.76,67,93,14.92,LK,1687238179
482,kota kinabalu,5.9749,116.0724,91.38,58,20,4.61,MY,1687238179
483,carnarvon,-24.8667,113.6333,68.79,60,0,13.27,AU,1687238180
484,thunder bay,48.4001,-89.3168,58.98,67,0,5.75,CA,1687238180
485,nar'yan-mar,67.6713,53.087,47.5,57,17,14.74,RU,1687238181
486,bei'an,24.5399,109.533,87.6,70,97,9.6,CN,1687238181
487,eydhafushi,5.1033,73.0708,83.41,76,85,14.52,MV,1687238182
488,coquimbo,-29.9533,-71.3436,53.33,82,0,4.61,CL,1687238182
489,mossel bay,-34.1831,22.146,49.93,72,52,19.33,ZA,1687238105
490,chokwe,-24.5333,32.9833,58.03,52,0,5.1,MZ,1687238183
491,pisco,-13.7,-76.2167,68.05,83,100,4.61,PE,1687238183
492,bichura,50.5881,107.6022,83.75,32,15,11.61,RU,1687238184
493,meiganga,6.5167,14.3,63.52,97,100,0.96,CM,1687238184
494,phai sali,15.5976,100.6585,90.86,53,95,10.07,TH,1687238184
495,nadym,65.5333,72.5167,46.2,65,100,16.42,RU,1687238185
496,east london,-33.0153,27.9116,54.54,47,0,16.11,ZA,1687238185
497,bubaque,11.2833,-15.8333,81.18,79,100,9.46,GW,1687238185
498,atherton,53.5237,-2.4935,61.21,93,98,3.24,GB,1687238186
499,lincoln city,44.9582,-124.0179,54.7,90,35,5.35,US,1687237940
500,sur,22.5667,59.5289,93.72,45,46,1.66,OM,1687238187
501,polyarnyy,69.1989,33.4478,46.04,63,1,3.78,RU,1687238187
502,northam,51.0333,-4.2167,58.66,96,100,7.81,GB,1687238187
503,ulsteinvik,62.3432,5.8487,61.99,89,98,1.99,NO,1687238188
504,kolonia town,6.964,158.206,89.71,74,75,12.66,FM,1687238188
505,kasongo-lunda,-6.4667,16.8167,63.34,71,31,1.01,CD,1687238189
506,corner brook,48.9667,-57.9484,41.16,98,100,2.84,CA,1687238189
507,gazli,40.1333,63.45,88.79,28,0,9.17,UZ,1687238189
508,jinchang,38.4953,102.1739,86.81,14,99,9.66,CN,1687238190
509,al mawsil al jadidah,36.3346,43.0978,83.55,32,0,12.82,IQ,1687238190
510,dawei,14.0833,98.2,83.12,78,99,7.85,MM,1687238190
511,salalah,17.0151,54.0924,84.29,94,100,4.61,OM,1687238191
512,saint-philippe,-21.3585,55.7679,74.79,74,63,10.87,RE,1687238192
513,bel ombre,-4.6167,55.4167,78.64,83,75,12.66,SC,1687238193
514,fort mcmurray,56.7268,-111.381,53.19,100,100,12.66,CA,1687238193
515,rosetta,31.4044,30.4164,73.98,77,0,12.1,EG,1687238194
516,kiama,-34.6833,150.8667,61.38,46,1,12.91,AU,1687238194
517,morehead city,34.7229,-76.726,77.0,90,0,1.01,US,1687238195
518,rosarito,32.3333,-117.0333,63.55,80,3,6.58,MX,1687238195
519,bodaybo,57.8506,114.1933,59.63,42,92,7.96,RU,1687238195
520,road town,18.4167,-64.6167,82.49,71,16,17.69,VG,1687238177
521,sargatskoye,55.6101,73.4972,45.61,82,100,25.64,RU,1687238196
